B1.  Wissenschaftliche Bibliotheken und Spezialbibliotheken 2011 bis 2014;;;;;;;;
;;;;;;;;
Jahr;Anzahl1);"Bücher,
Zeitungen und
Zeitschriften
sowie
Sammelwerke
(physische
Einheiten)";"Laufend geführte
Zeitungen und
Zeitschriften
in gedruckter
Form 
(Titel)";"Zugänge an
Büchern,
Zeitungen und
Zeitschriften
sowie
Sammelwerken
(physische
Einheiten)";"Bibliotheks-
besuche
(Benützungs-
fälle)";"Benützte
Dokumente
(ohne Verlänge-
rungen)2)";"Ausgaben für
Bestandsver-
mehrung3)";"Beschäf-
tigte am
Jahresende
(Vollzeitäqui-
valente) "
;;1.000;;;;;1.000 EUR;
;Zusammen4);;;;;;;
2011;77;33.933,8;99,7;635,0;11.276,8;3.927,1;47.143,9;1.750,3
2012;88;34.718,0;87,9;570,5;11.611,1;4.407,7;48.181,0;1.841,4
2013;78;33.599,6;78,9;522,3;11.401,6;3.835,7;47.688,6;1.699,7
2014;76;33.373,8;73,7;503,4;10.514,6;3.806,7;48.998,1;1.732,5
;Nationalbibliothek;;;;;;;
2011;1;3.668,2;11,5;38,8;274,7;432,6;2.096,0;315,0
2012;1;3.708,2;11,4;39,5;277,9;480,6;1.524,0;391,0
2013;1;3.768,5;11,5;39,6;224,1;469,8;1.082,0;316,0
2014;1;3.805,7;11,7;37,8;266,8;460,3;1.094,0;320,0
;Landesbibliotheken4);;;;;;;
2011;7;2.956,3;12,1;56,4;142,5;285,4;2.144,0;182,4
2012;7;2.973,1;12,2;62,6;160,6;514,7;2.376,0;178,0
2013;7;3.025,7;12,7;54,7;127,7;540,9;2.367,7;187,5
2014;6;2.949,2;11,5;48,5;130,1;275,6;2.027,1;188,3
;Bibliotheken öffentlicher Universitäten4);;;;;;;
2011;20;19.706,3;51,8;444,4;10.508,7;2.891,5;39.893,1;1.013,1
2012;21;20.051,5;35,0;360,6;10.638,6;2.980,0;41.481,5;1.018,3
2013;21;20.099,0;32,0;331,4;10.633,3;2.722,1;42.146,8;1.017,1
2014;19;19.378,8;29,7;304,9;9.899,3;2.636,4;43.497,5;1.023,1
;Bibliotheken von Fachhochschulen4);;;;;;;
2011;9;256,6;1,8;25,2;160,3;135,4;. ;24,5
2012;9;240,8;1,8;16,4;149,3;111,1;. ;26,2
2013;8;246,5;1,5;17,2;143,8;142,1;. ;24,6
2014;8;258,5;1,5;16,2;137,8;110,9;. ;23,7
;Bibliotheken pädagogischer Hochschulen4);;;;;;;
2011;8;849,3;1,2;25,9;. ;226,7;211,1;42,0
2012;11;956,2;1,8;29,2;. ;215,7;276,4;39,0
2013;9;954,0;1,5;28,7;. ;291,4;239,4;37,3
2014;9;990,0;1,3;28,7;. ;259,3;241,7;42,0
;Bibliotheken anderer Bildungseinrichtungen4);;;;;;;
2011;7;356,3;1,9;7,5;67,1;55,9;275,3;18,3
2012;8;401,7;2,0;6,6;79,3;70,1;268,1;19,3
2013;7;401,0;2,0;10,7;69,7;53,7;269,9;18,6
2014;6;327,3;1,7;8,4;63,3;44,5;171,2;12,8
;Parlaments-, Behörden- und Gerichtsbibliotheken4);;;;;;;
2011;12;3.931,9;12,9;28,8;. ;. ;1.544,3;96,5
2012;12;3.954,9;12,9;27,0;. ;. ;1.382,5;96,5
2013;8;2.954,6;8,8;13,3;. ;. ;. ;61,8
2014;10;4.031,8;11,2;13,9;. ;. ;1.576,6;77,8
;Bibliotheken von wissenschaftlichen Institutionen und Museen4);;;;;;;
2011;18;1.744,2;7,1;24,8;24,4;23,6;595,4;59,8
2012;15;1.678,0;9,8;21,6;10,8;19,4;363,3;51,3
2013;13;1.390,9;7,9;17,5;19,3;24,5;380,1;32,5
2014;13;1.356,3;4,9;27,2;. ;. ;. ;44,8
;Bibliotheken von Körperschaften und Vereinen4);;;;;;;
2011;4;721,2;1,4;8,5;2,4;16,0;384,7;23,3
2012;4;753,6;0,9;7,0;0,2;14,1;349,3;22,0
2013;4;759,5;0,9;7,2;0,2;10,3;379,9;. 
2014;4;276,3;0,2;17,9;0,2;0,5;14,8;4,5
;;;;;;;;
"Q: STATISTIK AUSTRIA; Österreichische Bibliotheksstatistik (ÖBS). Erstellt am 31.05.2016. 1) Anzahl der jeweils erfassten Bibliotheken. - 2) In Lesesälen benützte Dokumente (ohne frei zugänglich aufgestellte Dokumente), Entlehnungen und aktive Fernleihe. - 3) Seit 2010 exkl. Ausgaben für bestandserhaltende Maßnahmen wie Restauration, Entsäuerung, Entfilmung etc. - 4) Antwortausfälle bei einzelnen Bibliotheken wurden bei Errechnung der Summenwerte generell nicht aufgeschätzt; die Angaben sind daher zum Teil unvollständig.";;;;;;;;
