B1.  Wissenschaftliche Bibliotheken und Spezialbibliotheken 2011 bis 2014;;;;;;;;
;;;;;;;;
Jahr;Anzahl1);"Buecher,
Zeitungen und
Zeitschriften
sowie
Sammelwerke
(physische
Einheiten)";"Laufend gefuehrte
Zeitungen und
Zeitschriften
in gedruckter
Form 
(Titel)";"Zugaenge an
Buechern,
Zeitungen und
Zeitschriften
sowie
Sammelwerken
(physische
Einheiten)";"Bibliotheks-
besuche
(Benuetzungs-
faelle)";"Benuetzte
Dokumente
(ohne Verlaenge-
rungen)2)";"Ausgaben fuer
Bestandsver-
mehrung3)";"Beschaef-
tigte am
Jahresende
(Vollzeitaequi-
valente) "
;;1.000;;;;;1.000 EUR;
;Zusammen4);;;;;;;
2011;77;33.933,80;99,7;635;11.276,80;3.927,10;47.143,90;1.750,30
2012;88;34.718,00;87,9;570,5;11.611,10;4.407,70;48.181,00;1.841,40
2013;78;33.599,60;78,9;522,3;11.401,60;3.835,70;47.688,60;1.699,70
2014;76;33.373,80;73,7;503,4;10.514,60;3.806,70;48.998,10;1.732,50
;Nationalbibliothek;;;;;;;
2011;1;3.668,20;11,5;38,8;274,7;432,6;2.096,00;315
2012;1;3.708,20;11,4;39,5;277,9;480,6;1.524,00;391
2013;1;3.768,50;11,5;39,6;224,1;469,8;1.082,00;316
2014;1;3.805,70;11,7;37,8;266,8;460,3;1.094,00;320
;Landesbibliotheken4);;;;;;;
2011;7;2.956,30;12,1;56,4;142,5;285,4;2.144,00;182,4
2012;7;2.973,10;12,2;62,6;160,6;514,7;2.376,00;178
2013;7;3.025,70;12,7;54,7;127,7;540,9;2.367,70;187,5
2014;6;2.949,20;11,5;48,5;130,1;275,6;2.027,10;188,3
;Bibliotheken oeffentlicher Universitaeten4);;;;;;;
2011;20;19.706,30;51,8;444,4;10.508,70;2.891,50;39.893,10;1.013,10
2012;21;20.051,50;35;360,6;10.638,60;2.980,00;41.481,50;1.018,30
2013;21;20.099,00;32;331,4;10.633,30;2.722,10;42.146,80;1.017,10
2014;19;19.378,80;29,7;304,9;9.899,30;2.636,40;43.497,50;1.023,10
;Bibliotheken von Fachhochschulen4);;;;;;;
2011;9;256,6;1,8;25,2;160,3;135,4;. ;24,5
2012;9;240,8;1,8;16,4;149,3;111,1;. ;26,2
2013;8;246,5;1,5;17,2;143,8;142,1;. ;24,6
2014;8;258,5;1,5;16,2;137,8;110,9;. ;23,7
;Bibliotheken paedagogischer Hochschulen4);;;;;;;
2011;8;849,3;1,2;25,9;. ;226,7;211,1;42
2012;11;956,2;1,8;29,2;. ;215,7;276,4;39
2013;9;954;1,5;28,7;. ;291,4;239,4;37,3
2014;9;990;1,3;28,7;. ;259,3;241,7;42
;Bibliotheken anderer Bildungseinrichtungen4);;;;;;;
2011;7;356,3;1,9;7,5;67,1;55,9;275,3;18,3
2012;8;401,7;2;6,6;79,3;70,1;268,1;19,3
2013;7;401;2;10,7;69,7;53,7;269,9;18,6
2014;6;327,3;1,7;8,4;63,3;44,5;171,2;12,8
;Parlaments-, Behoerden- und Gerichtsbibliotheken4);;;;;;;
2011;12;3.931,90;12,9;28,8;. ;. ;1.544,30;96,5
2012;12;3.954,90;12,9;27;. ;. ;1.382,50;96,5
2013;8;2.954,60;8,8;13,3;. ;. ;. ;61,8
2014;10;4.031,80;11,2;13,9;. ;. ;1.576,60;77,8
;Bibliotheken von wissenschaftlichen Institutionen und Museen4);;;;;;;
2011;18;1.744,20;7,1;24,8;24,4;23,6;595,4;59,8
2012;15;1.678,00;9,8;21,6;10,8;19,4;363,3;51,3
2013;13;1.390,90;7,9;17,5;19,3;24,5;380,1;32,5
2014;13;1.356,30;4,9;27,2;. ;. ;. ;44,8
;Bibliotheken von Koerperschaften und Vereinen4);;;;;;;
2011;4;721,2;1,4;8,5;2,4;16;384,7;23,3
2012;4;753,6;0,9;7;0,2;14,1;349,3;22
2013;4;759,5;0,9;7,2;0,2;10,3;379,9;. 
2014;4;276,3;0,2;17,9;0,2;0,5;14,8;4,5
