B4.  Benützung der wissenschaftlichen Bibliotheken und Spezialbibliotheken 2014;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bibliothek;"Bundes-
land";Registrierte Personen1);;"Bibliotheks-
besuche 
(Benützungs-
fälle)";;"Benützte
Dokumente
(ohne Fristver-
längerungen)2)";;"Fernleihe: 
erhaltene 
Bestellungen
(In- und
Ausland)";;"Zugriffe auf
die Website";;"Suchanfragen 
in Online-
Katalogen";
Nationalbibliothek;;;;;;;;;;;;;
Österreichische Nationalbibliothek;W;20.418;6);266.814;;460.315;;3.620;;96.793.986;;9.215.662;
Landesbibliotheken;;;;;;;;;;;;;
Kärntner Landesbibliothek;K;800;;.;;.;;.;;.;;.;
Niederösterreichische Landesbibliothek;N;9.039;;5.533;;6.114;;124;;173.904;;389.727;
Oberösterreichische Landesbibliothek;O;6.601;;110.000;;90.341;;2.041;;(1.460.000);;.;
Steiermärkische Landesbibliothek;St;1.731;;.;;52.125;;246;;274.736;;.;
Vorarlberger Landesbibliothek;V;7.510;;.;9);110.461;;899;;(2.000.000);;(600.000);
Wienbibliothek im Rathaus;W;.;;14.606;;16.510;;125;;315.460;;.;
Bibliotheken öffentlicher Universitäten;;;;;;;;;;;;;
Universität Klagenfurt;K;6.148;;225.956;;68.286;;2.911;;825.840;;10.751.813;
Kunstuniverisität Linz;O;1.342;;.;;17.140;;.;;-;;95.350;
Johannes Kepler Universität Linz;O;10.179;;.;;74.560;;1.143;;-;;1.250.000;
Universität Mozarteum Salzburg;S;2.454;;.;;41.773;;215;;-;;356.167;
Universität Salzburg;S;16.956;;600.256;;311.715;;.;;-;;4.887.674;
Karl-Franzens-Universität Graz ;St;21.774;;722.419;;254.736;;3.147;;942.272;;.;
Medizinischen Universität Graz;St;-;;195.000;;-;;-;;-;;-;
Montanuniversität Leoben;St;2.077;;137.787;;12.562;;540;;.;;.;
Technischen Universität Graz;St;-;;385.441;;-;;-;;364.771;;-;
Universität für Musik und darstellende Kunst Graz;St;2.747;;60.794;;25.132;;37;;49.729;;279.645;
Universitäts- und Landesbibliothek Tirol3);T;25.946;;1.931.952;;405.178;;4.392;;.;;5.121.298;
Medizinische Universität Wien;W;8.293;;743.206;;76.682;;7.933;;.;;.;
Technische Universität Wien;W;11.396;;566.000;;77.961;;1.761;;537.295;;1.656.136;
Universität für angewandte Kunst Wien;W;2.119;;73.906;;.;;351;;2.059;;100.285;
Universität für Bodenkultur Wien;W;6.125;;467.118;;52.403;;924;;-;;.;
Universität für Musik und darstellende Kunst Wien ;W;2.470;;.;;28.227;;186;;-;;285.026;
Universität Wien;W;69.943;;2.824.272;;983.790;;17.287;;-;;15.797.656;
Veterinärmedizinischen Universität Wien;W;2.354;;93.998;;37.774;;408;;98.623;;.;
Wirtschaftsuniversität Wien;W;16.522;;871.224;;168.431;;995;;1.307.963;;8.145.573;
Bibliotheken von Fachhochschulen;;;;;;;;;;;;;
FH Eisenstadt;B;835;;.;;12.341;;228;;-;;69.077;
FH Villach;K;1.722;;.;;13.240;;150;;-;;.;
FH St. Pölten;N;1.705;;60.431;;25.650;;336;;-;;.;
FH Graz;St;819;;5.448;;7.080;;-;;-;;.;
"FH JOANNEUM Bibliotheks- und 
Informationszentrum";St;2.845;;37.877;;21.301;;324;;-;;.;
Fachhochschule des bfi Wien;W;.;;.;;.;;-;;-;;.;
FH Campus Wien, Bibliothek und Mediathek;W;2.325;;.;;18.297;;174;;-;;.;
FH Wien - Studiengänge der WKW;W;.;;34.079;;13.035;;.;;-;;.;
Bibliotheken pädagogischer Hochschulen ;;;;;;;;;;;;;
Pädagogische Hochschule Burgenland;B;997;;.;;20.443;;.;;.;;.;
Pädagogische Hochschule Kärnten;K;.;;.;;15.687;;167;;.;;.;
Pädagogische Hochschule Oberösterreich;O;1.277;;77.942;;21.030;;266;;.;;.;
Pädagogische Hochschule Salzburg;S;1.234;;.;;53.348;;272;;.;;.;
Kirchlich Pädagogische Hochschule Graz;St;2.112;;15.500;;16.018;;2;;75.200;;8.138.616;
Pädagogische Hoschschule Steiermark;St;.;;145.411;;35.763;;392;;.;;.;
Pädagogische Hochschule Tirol;T;8.493;;80.184;;25.890;;350;;43.709;;.;
Hochschule für Agrar- und Umweltpädagogik Wien;W;646;;.;;1.740;;.;;.;;.;
Pädagogische Hochschule Wien Campusbibliothek;W;823;;50.187;;69.388;;384;;.;;.;
Bibliotheken anderer Bildungseinrichtungen;;;;;;;;;;;;;
