"﻿Bibliotheks ID","Registrierte Personen","BibliotheksbesucheBenützungsfälle","Benützte Dokumente ohne Fristverlängerungen","Fernleihe: erhaltene Bestellungen In- und Ausland","Zugriffe auf die Website","Suchanfragen in Online-Katalogen","Art"
1,20418,266814,460315,3620,96793986,9215662,Nationalbibliothek
2,800,0,0,0,0,0,Landesbibliotheken
3,9039,5533,6114,124,173904,389727,Landesbibliotheken
4,6601,110000,90341,2041,1460000,0,Landesbibliotheken
5,1731,0,52125,246,274736,0,Landesbibliotheken
6,7510,0,110461,899,2000000,600000,Landesbibliotheken
7,0,14606,16510,125,315460,0,Landesbibliotheken
8,6148,225956,68286,2911,825840,10751813,Bibliotheken öffentlicher Universitäten
9,1342,0,17140,0,0,95350,Bibliotheken öffentlicher Universitäten
10,10179,0,74560,1143,0,1250000,Bibliotheken öffentlicher Universitäten
11,2454,0,41773,215,0,356167,Bibliotheken öffentlicher Universitäten
12,16956,600256,311715,0,0,4887674,Bibliotheken öffentlicher Universitäten
13,21774,722419,254736,3147,942272,0,Bibliotheken öffentlicher Universitäten
14,0,195000,0,0,0,0,Bibliotheken öffentlicher Universitäten
15,2077,137787,12562,540,0,0,Bibliotheken öffentlicher Universitäten
16,0,385441,0,0,364771,0,Bibliotheken öffentlicher Universitäten
17,2747,60794,25132,37,49729,279645,Bibliotheken öffentlicher Universitäten
18,25946,1931952,405178,4392,0,5121298,Bibliotheken öffentlicher Universitäten
19,8293,743206,76682,7933,0,0,Bibliotheken öffentlicher Universitäten
20,11396,566000,77961,1761,537295,1656136,Bibliotheken öffentlicher Universitäten
21,2119,73906,0,351,2059,100285,Bibliotheken öffentlicher Universitäten
22,6125,467118,52403,924,0,0,Bibliotheken öffentlicher Universitäten
23,2470,0,28227,186,0,285026,Bibliotheken öffentlicher Universitäten
24,69943,2824272,983790,17287,0,15797656,Bibliotheken öffentlicher Universitäten
25,2354,93998,37774,408,98623,0,Bibliotheken öffentlicher Universitäten
26,16522,871224,168431,995,1307963,8145573,Bibliotheken öffentlicher Universitäten
27,835,0,12341,228,0,69077,Bibliotheken von Fachhochschulen
28,1722,0,13240,150,0,0,Bibliotheken von Fachhochschulen
29,1705,60431,25650,336,0,0,Bibliotheken von Fachhochschulen
30,819,5448,7080,0,0,0,Bibliotheken von Fachhochschulen
31,2845,37877,21301,324,0,0,Bibliotheken von Fachhochschulen
32,0,0,0,0,0,0,Bibliotheken von Fachhochschulen
33,2325,0,18297,174,0,0,Bibliotheken von Fachhochschulen
34,0,34079,13035,0,0,0,Bibliotheken von Fachhochschulen
35,997,0,20443,0,0,0,Bibliotheken pädagogischer Hochschulen
36,0,0,15687,167,0,0,Bibliotheken pädagogischer Hochschulen
37,1277,77942,21030,266,0,0,Bibliotheken pädagogischer Hochschulen
38,1234,0,53348,272,0,0,Bibliotheken pädagogischer Hochschulen
39,2112,15500,16018,2,75200,8138616,Bibliotheken pädagogischer Hochschulen
40,0,145411,35763,392,0,0,Bibliotheken pädagogischer Hochschulen
41,8493,80184,25890,350,43709,0,Bibliotheken pädagogischer Hochschulen
42,646,0,1740,0,0,0,Bibliotheken pädagogischer Hochschulen
43,823,50187,69388,384,0,0,Bibliotheken pädagogischer Hochschulen
44,370,500,550,0,0,0,Bibliotheken anderer Bildungseinrichtungen
45,0,870,853,3,2582,0,Bibliotheken anderer Bildungseinrichtungen
46,5514,41515,12077,9,0,0,Bibliotheken anderer Bildungseinrichtungen
47,1475,8345,5795,235,0,0,Bibliotheken anderer Bildungseinrichtungen
48,156,4500,11801,0,0,0,Bibliotheken anderer Bildungseinrichtungen
49,390,7579,13451,10,0,0,Bibliotheken anderer Bildungseinrichtungen
50,163,1324,1203,48,0,0,Parlaments-, Behörden- u Gerichtsbibliotheken
51,0,98353,25285,1253,0,0,Parlaments-, Behörden- u Gerichtsbibliotheken
52,0,0,0,0,0,0,Parlaments-, Behörden- u Gerichtsbibliotheken
53,0,0,119,0,0,0,Parlaments-, Behörden- u Gerichtsbibliotheken
54,0,0,0,0,0,0,Parlaments-, Behörden- u Gerichtsbibliotheken
55,334,0,18719,0,0,35609,Parlaments-, Behörden- u Gerichtsbibliotheken
56,1919,0,2797,935,74122,0,Parlaments-, Behörden- u Gerichtsbibliotheken
57,0,0,0,0,0,0,Parlaments-, Behörden- u Gerichtsbibliotheken
58,0,800,0,0,0,0,Parlaments-, Behörden- u Gerichtsbibliotheken
59,804,8833,11849,16,6132,2338,Parlaments-, Behörden- u Gerichtsbibliotheken
60,0,140,0,0,0,0,Bibliotheken von wissenschaftlichen Institutionen und Museen
61,0,0,0,12,0,0,Bibliotheken von wissenschaftlichen Institutionen und Museen
62,0,4139,9400,0,0,0,Bibliotheken von wissenschaftlichen Institutionen und Museen
63,376,0,0,823,0,0,Bibliotheken von wissenschaftlichen Institutionen und Museen
64,0,0,0,0,0,0,Bibliotheken von wissenschaftlichen Institutionen und Museen
65,583,7771,8446,16,44947,192384,Bibliotheken von wissenschaftlichen Institutionen und Museen
66,0,1197,0,43,0,0,Bibliotheken von wissenschaftlichen Institutionen und Museen
67,0,2400,0,0,3960300,5300,Bibliotheken von wissenschaftlichen Institutionen und Museen
68,184,1289,1208,96,0,0,Bibliotheken von wissenschaftlichen Institutionen und Museen
69,0,0,0,0,0,0,Bibliotheken von wissenschaftlichen Institutionen und Museen
70,0,38,140,0,34000,0,Bibliotheken von wissenschaftlichen Institutionen und Museen
71,40,0,0,0,0,0,Bibliotheken von wissenschaftlichen Institutionen und Museen
72,0,0,0,0,0,0,Bibliotheken von wissenschaftlichen Institutionen und Museen
73,82,0,0,0,0,0,Bibliotheken von Körperschaften und Vereinen
74,52,0,0,0,0,0,Bibliotheken von Körperschaften und Vereinen
75,0,186,468,5,0,0,Bibliotheken von Körperschaften und Vereinen
76,0,0,0,0,0,0,Bibliotheken von Körperschaften und Vereinen
