B3. Laufend geführte Zeitungen und Zeitschriften sowie Neuzugang an Medien der wissenschaftlichen Bibliotheken und Spezialbibliotheken 2014;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bibliothek;"Bundes-
land";"Laufend geführte
Zeitungen und Zeitschriften 
(Anzahl der Titel)";;;;Neuzugang an Medien ;;;;;;"Ausgaben 
für Bestands-vermehrung2) ";
;;;;;;"Bücher,
Zeitungen und
Zeitschriften
sowie
Sammelwerke (physische Einheiten)";;"Digitale
Bestände:
Einzel-
dokumente
sowie
Datenbanken1)";;Sonstiges;;;
;;"in gedruckter 
Form";;Elektronisch;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;1.000 EUR;
Nationalbibliothek;;11.657;;14.334;;37.775;;2.144;;177.057;;1.094,0;
Österreichische Nationalbibliothek;W;;;;;;;;;;;;
Landesbibliotheken;;700;;-;;1.422;;-;;-;;20,0;
Kärntner Landesbibliothek;K;3.898;;-;;13.092;6);3.606;;828;;122,3;
Niederösterreichische Landesbibliothek;N;1.700;;(4.000);;(10.530);;(2.600);;-;;313,2;
Oberösterreichische Landesbibliothek;O;2.435;;19;;6.193;;2.515;;-;;326,8;
Steiermärkische Landesbibliothek;St;1.605;;5.319;;9.165;;2.565;;.;;769,1;
Vorarlberger Landesbibliothek;V;(1.200);;-;;8.123;;1.000;;3.540;;475,6;
Wienbibliothek im Rathaus;W;;;;;;;;;;;;
Bibliotheken öffentlicher Universitäten;;1.932;;20.257;;.;;5.536;;.;;1.075,1;
Universität Klagenfurt;K;201;;49;;.;;406;;.;;85,6;
Kunstuniverisität Linz;O;1098;;24.425;;12.611;;4.271;;.;;2.635,8;
Johannes Kepler Universität Linz;O;303;;22;;1.603;;547;;.;;144,5;
Universität Mozarteum Salzburg;S;5.294;;22.698;;47.976;;29.386;;.;;4.772,8;
Universität Salzburg;S;2.627;;26.695;;33.668;;.;;.;;4.346,3;
Karl-Franzens-Universität Graz ;St;-;;-;;-;;-;;.;;1.345,0;
Medizinischen Universität Graz;St;392;;4050;;8.396;;18;;.;;888,9;
Montanuniversität Leoben;St;-;;-;;-;;-;;.;;2.683,4;
Technischen Universität Graz;St;246;;1240;;3.732;;882;;.;;361,6;
Universität für Musik und darstellende Kunst Graz;St;4.588;;21.502;;39.898;;5.100;;.;;5.525,1;
Universitäts- und Landesbibliothek Tirol3);T;9;;4.125;;7.297;;2.012;;.;;2.710,1;
Medizinische Universität Wien;W;856;;4.250;;17.116;;14.487;;.;;3.524,1;
Technische Universität Wien;W;411;;945;;2.903;;234;;25;;189,9;
Universität für angewandte Kunst Wien;W;1.155;;3.650;;8.369;;782;;.;;1.188,0;
Universität Bodenkultur Wien;W;260;;53;;4.162;;369;;.;;188,9;
Universität für Musik und darstellende Kunst Wien ;W;8.846;;36.035;;85.189;;44.780;;.;;8.290,7;
Universität Wien;W;480;;3.975;;2.866;;.;;.;;838,6;
Veterinärmedizinischen Universität Wien;W;997;;19.749;;29.080;;23.151;;.;;2.703,2;
Wirtschaftsuniversität Wien;W;;;;;;;;;;;;
Bibliotheken von Fachhochschulen;;165;;4.730;;3.868;;122.944;;.;;.;
FH Eisenstadt;B;251;;21.037;;2.831;;59;;.;;.;
FH Villach;K;169;;2.842;;3.689;;665;;.;;138,8;
FH St. Pölten;N;87;;2.537;;709;;.;;.;;.;
FH Graz;St;408;;6443;;1.556;;178;;.;;.;
FH JOANNEUM Bibliotheks- und Informationszentrum;St;158;;3084;;1.354;;.;;.;;.;
Fachhochschule des bfi Wien;W;160;;6895;;1.344;;1.008;;.;;.;
FH Campus Wien, Bibliothek und Mediathek;W;64;;15509;;805;;.;;.;;.;
FH Wien - Studiengänge der WKW;W;;;;;;;;;;;;
Bibliotheken pädagogischer Hochschulen ;;81;;-;;839;;-;;.;;27,5;
Pädagogische Hochschule Burgenland;B;165;;3;;2.261;;132;;16;;29,9;
Pädagogische Hochschule Kärnten;K;197;;.;;2.858;;111;;.;;50,0;
Pädagogische Hochschule Oberösterreich;O;215;;156;;9.632;;1.479;;-;;43,8;
Pädagogische Hochschule Salzburg;S;155;;1;;776;;1;;20;;.;
Kirchlich Pädagogische Hochschule Graz;St;112;;-;;5.754;;632;;128;;32,7;
Pädagogische Hoschschule Steiermark;St;89;;.;;1.632;;475;;.;;.;
Pädagogische Hochschule Tirol;T;116;;.;;886;;43;;.;;14,0;
Hochschule für Agrar- und Umweltpädagogik Wien;W;169;;-;;4.050;;275;;59;;43,8;
Pädagogische Hochschule Wien Campusbibliothek;W;;;;;;;;;;;;
Bibliotheken anderer Bildungseinrichtungen;;1.020;;.;;320;;.;;.;;.;
Joseph Haydn Konservatorium des                         Landes Burgenland;B;79;;-;;400;;-;;-;;.;
Diözesanbibliothek Klagenfurt;K;540;;762;;5.875;;21;;-;;123,0;
Diözesan- und Universitätsbibliothek der Katholischen Privat-Universität Linz;O;.;;.;;20;;1479;;.;;(16.168);
Bundeseinrichtung für Erwachsenenbildung;S;37;;-;;401;;243;;1760;;32,1;
Vorarlberger Landeskonservatorium;V;47;;1;;(1.420);;102;;709;;.;
Konservatorium Wien Privatuniversität;W;;;;;;;;;;;;
Parlaments-, Behörden- u. Gerichtsbibliotheken;;12;;2;;164;;2;;.;;.;
Amtsbibliothek des Landesschulrates für Kärnten;K;368;;.;;(3.154);;(1.156);;.;;86,3;
Bundesstaatliche Pädagogische                                                                                                                                                                                                                                                                                                                                                Bibliothek beim Landesschulrat für NÖ                                                                                                                                                                                                                                                                                                                                              (inkl. Exposituren Baden und Hollabrunn);N;6.500;;80;;.;;.;;.;;.;
Administrative Bibliothek des Bundes4);W;84;;-;;336;;54;;.;;25,0;
Bundesanstalt für Agrarwirtschaft;W;.;;.;;827;7);.;;.;;.;
Bundesministerium für Justiz;W;2.516;;225;;4.514;;325;;-;;.;
BMLVS Österreichische Militärbibliothek;W;850;;.;;851;;388;;.;;906,5;
Clusterbibliothek - Europäisches Dokumentations-zentrum (EDZ)5);W;184;;-;;-;;-;;-;;415,5;
Oberster Gerichtshof;W;425;;3;;390;;330;;.;;36,3;
Österreichisches Patentamt;W;281;;45;;3.681;;-;;.;;107,0;
Parlamentsbibliothek;W;;;;;;;;;;;;
Bibliotheken von wissenschaftlichen Institutionen und Museen;;(340);;.;;.;;.;;.;;19,3;
Adalbert-Stifter Institut ;O;158;;-;;(1.000);;-;;-;;17,5;
Oberösterreichisches Landesarchiv;O;1.600;;.;;13.157;8);.;;(1.400);;54,0;
Tiroler Landesmuseum Ferdinandeum;T;207;;11;;1.491;;.;;-;;48,9;
Stadtbibliothek Feldkirch;V;150;;1.900;;159;;40;;.;;.;
"Bundesforschungs- und Ausbildungszentrum für 
Wald, Naturgefahren und Landschaft";W;146;;25;;(1.900);;-;;-;;48,2;
C3-Bibliothek für Entwicklungspolitik;W;99;;4.982;;333;;15;;.;;-;
Institut für Höhere Studien (IHS);W;200;;-;;1.654;9);17.750;;-;;.;
Literaturhaus Wien;W;1.001;;5;;4.409;;(399);;.;;.;
Österreichische Akademie der Wissenschaft;W;84;;100;;1.000;;.;;.;;.;
Österreichisches Institut für Wirtschaftsforschung;W;67;;260;;200;;150;;.;;4,5;
Österreichische Kulturdokumentation;W;39;;12;;(100);;2;;-;;.;
Winer Institut für Internationale Wirtschaftsvergleiche;W;(850);;-;;1.779;;.;;-;;44,1;
Wiener Stadt- und Landesarchiv;W;;;;;;;;;;;;
Bibliotheken von Körperschaften und Vereinen;;52;;-;;17.000;;-;;-;;6,0;
Theologenbücherei Priesterseminar Graz;St;120;;6;;700;;.;;-;;7,1;
Bibliothek der Evangelischen Kirche;W;34;;.;;204;;.;;.;;1,7;
Christlich-jüdisches Informationszentrum;W;.;;.;;.;;.;;.;;.;
Wirtschaftskammer Wien;W;;;;;;;;;;;;
;;;;;;;;;;;;;
