Bibliotheks ID	in gedruckter Form	elektronisch
1	11.657	14.334
2	700	-
3	3.898	-
4	1.700	(4.000)
5	2.435	19
6	1.605	5.319
7	(1.200)	-
8	1.932	20.257
9	201	49
10	1098	24.425
11	303	22
12	5.294	22.698
13	2.627	26.695
14	-	-
15	392	4050
16	-	-
17	246	1240
18	4.588	21.502
19	9	4.125
20	856	4.250
21	411	945
22	1.155	3.650
23	260	53
24	8.846	36.035
25	480	3.975
26	997	19.749
27	165	4.730
28	251	21.037
29	169	2.842
30	87	2.537
31	408	6443
32	158	3084
33	160	6895
34	64	15509
35	81	-
36	165	3
37	197	.
38	215	156
39	155	1
40	112	-
41	89	.
42	116	.
43	169	-
44	1.020	.
45	79	-
46	540	762
47	.	.
48	37	-
49	47	1
50	12	2
51	368	.
52	6.500	80
53	84	-
54	.	.
55	2.516	225
56	850	.
57	184	-
58	425	3
59	281	45
60	(340)	.
61	158	-
62	1.600	.
63	207	11
64	150	1.900
65	146	25
66	99	4.982
67	200	-
68	1.001	5
69	84	100
70	67	260
71	39	12
72	(850)	-
73	52	-
74	120	6
75	34	.
76	.	.
