"Bibliotheks ID","Bücher,Zeitungen und Zeitschriften sowie Sammelwerke (physische Einheiten)","Digitale Bestände: Einzeldokumente sowie Datenbanken","Ausgaben für Bestandsvermehrung in 1.000 EUR"
1,37775,2144,1094.0
2,1422,0,20.0
3,13092,3606,122.3
4,10530,2600,313.2
5,6193,2515,326.8
6,9165,2565,769.1
7,8123,1000,475.6
8,0,5536,1075.1
9,0,406,85.6
10,12611,4271,2635.8
11,1603,547,144.5
12,47976,29386,4772.8
13,33668,0,4346.3
14,0,0,1345.0
15,8396,18,888.9
16,0,0,2683.4
17,3732,882,361.6
18,39898,5100,5525.1
19,7297,2012,2710.1
20,17116,14487,3524.1
21,2903,234,189.9
22,8369,782,1188.0
23,4162,369,188.9
24,85189,44780,8290.7
25,2866,0,838.6
26,29080,23151,2703.2
27,3868,122944,0
28,2831,59,0
29,3689,665,138.8
30,709,0,0
31,1556,178,0
32,1354,0,0
33,1344,1008,0
34,805,0,0
35,839,0,27.5
36,2261,132,29.9
37,2858,111,50.0
38,9632,1479,43.8
39,776,1,0
40,5754,632,32.7
41,1632,475,0
42,886,43,14.0
43,4050,275,43.8
44,320,0,0
45,400,0,0
46,5875,21,123.0
47,20,1479,16168
48,401,243,32.1
49,1420,102,0
50,164,2,0
51,3154,1156,86.3
52,0,0,0
53,336,54,25.0
54,827,0,0
55,4514,325,0
56,851,388,906.5
57,0,0,415.5
58,390,330,36.3
59,3681,0,107.0
60,0,0,19.3
61,1000,0,17.5
62,13157,0,54.0
63,1491,0,48.9
64,159,40,0
65,1900,0,48.2
66,333,15,0
67,1654,17750,0
68,4409,399,0
69,1000,0,0
70,200,150,4.5
71,100,2,0
72,1779,0,44.1
73,17000,0,6.0
74,700,0,7.1
75,204,0,1.7
76,0,0,0












































































