Bibliotheks ID	"Bücher,
Zeitungen und
Zeitschriften
sowie
Sammelwerke (physische Einheiten)"	"Digitale
Bestände:
Einzel-
dokumente
sowie Datenbanken
"	"Ausgaben 
für Bestands-vermehrung in 1.000 EUR"							
1	37.775	2.144	1.094,0							
2	1.422	-	20,0							
3	13.092	3.606	122,3							
4	(10.530)	(2.600)	313,2							
5	6.193	2.515	326,8							
6	9.165	2.565	769,1							
7	8.123	1.000	475,6							
8	.	5.536	1.075,1							
9	.	406	85,6							
10	12.611	4.271	2.635,8							
11	1.603	547	144,5							
12	47.976	29.386	4.772,8							
13	33.668	.	4.346,3							
14	-	-	1.345,0							
15	8.396	18	888,9							
16	-	-	2.683,4							
17	3.732	882	361,6							
18	39.898	5.100	5.525,1							
19	7.297	2.012	2.710,1							
20	17.116	14.487	3.524,1							
21	2.903	234	189,9							
22	8.369	782	1.188,0							
23	4.162	369	188,9							
24	85.189	44.780	8.290,7							
25	2.866	.	838,6							
26	29.080	23.151	2.703,2							
27	3.868	122.944	.							
28	2.831	59	.							
29	3.689	665	138,8							
30	709	.	.							
31	1.556	178	.							
32	1.354	.	.							
33	1.344	1.008	.							
34	805	.	.							
35	839	-	27,5							
36	2.261	132	29,9							
37	2.858	111	50,0							
38	9.632	1.479	43,8							
39	776	1	.							
40	5.754	632	32,7							
41	1.632	475	.							
42	886	43	14,0							
43	4.050	275	43,8							
44	320	.	.							
45	400	-	.							
46	5.875	21	123,0							
47	20	1479	(16.168)							
48	401	243	32,1							
49	(1.420)	102	.							
50	164	2	.							
51	(3.154)	(1.156)	86,3							
52	.	.	.							
53	336	54	25,0							
54	827	.	.							
55	4.514	325	.							
56	851	388	906,5							
57	-	-	415,5							
58	390	330	36,3							
59	3.681	-	107,0							
60	.	.	19,3							
61	(1.000)	-	17,5							
62	13.157	.	54,0							
63	1.491	.	48,9							
64	159	40	.							
65	(1.900)	-	48,2							
66	333	15	-							
67	1.654	17.750	.							
68	4.409	(399)	.							
69	1.000	.	.							
70	200	150	4,5							
71	(100)	2	.							
72	1.779	.	44,1							
73	17.000	-	6,0							
74	700	.	7,1							
75	204	.	1,7							
76	.	.	.							
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
