B5.  Personal und Ausgaben der wissenschaftlichen Bibliotheken und Spezialbibliotheken 2014;;;;;;;;;;;
;;;;;;;;;;;
Bibliothek;"Bundes-
land";"Beschäftigte 
insgesamt 
(Vollzeit-
äquivalente) ";;darunter;;;;"Ausgaben 
insgesamt";;darunter;
;;;;"im höheren 
Bibliotheks-
dienst";;"im gehobenen 
Bibliotheks- 
dienst";;;;Personal-ausgaben;
;;;;;;;;1.000 EUR;;;
Nationalbibliothek;;;;;;;;;;;
Österreichische Nationalbibliothek;W;320,0;;122,0;;99,0;;27.732,0;;17.982,0;
Landesbibliotheken;;;;;;;;;;;
Kärntner Landesbibliothek;K;.;;2,0;;-;;.;;.;
Niederösterreichische Landesbibliothek;N;20,4;;5,0;;5,8;;236,3;;.;
Oberösterreichische Landesbibliothek;O;26,9;;3,0;;10,0;;2.522,5;;1.482,8;
Steiermärkische Landesbibliothek;St;41,2;;7,5;;7,9;;.;;.;
Vorarlberger Landesbibliothek;V;55,9;4);13,5;;14,5;;6.132,6;;3.774,9;
Wienbibliothek im Rathaus;W;44,0;;16,0;;16,0;;4.348,4;;2.479,6;
Bibliotheken öffentlicher Universitäten;;;;;;;;;;;
Universität Klagenfurt;K;37,9;;9,0;;16,8;;.;;1.856,5;
Kunstuniverisität Linz;O;7,0;;2,5;;2,0;;.;;437,7;
Johannes Kepler Universität Linz;O;45,3;;4,3;;19,1;;.;;1.952,4;
Universität Mozarteum Salzburg;S;12,8;;2,0;;7,3;;.;;894,8;
Universität Salzburg;S;114,3;;20,3;;46,3;;.;;5.505,0;
Karl-Franzens-Universität Graz ;St;115,8;;.;;.;;.;;6.061,7;
Medizinischen Universität Graz;St;15,8;;-;;-;;.;;743,8;
Montanuniversität Leoben;St;13,8;;2,0;;5,5;;.;;724,7;
Technischen Universität Graz;St;37,8;;-;;-;;.;;2.055,6;
Universität für Musik und darstellende Kunst Graz;St;11,0;;1,0;;10,0;;.;;550,6;
Universitäts- und Landesbibliothek Tirol1);T;130,1;;17,6;;74,8;;.;;6.877,9;
Medizinische Universität Wien;W;30,5;;10,4;;12,8;;.;;1.762,4;
Technische Universität Wien;W;58,3;;10,2;;27,9;;.;;2.970,1;
